"","nem_ctrl1","nem_ctrl2","nem_ctrl3","nem_ctrl4","nem_surv1","nem_surv2","nem_surv3","nem_surv4","nem_wilt1","nem_wilt2","nem_wilt3","nem_wilt4","sag_ctrl1","sag_ctrl2","sag_ctrl3","sag_ctrl4","sag_surv1","sag_surv2","sag_surv3","sag_surv4","sag_wilt1","sag_wilt2","sag_wilt3","sag_wilt4"
"miR10428",29.9129677300534,61.0113717511841,34.1645947243083,112.860415113714,18.5588051749649,10.8008747129018,12.0744888660505,15.3583954210743,13.8896167573828,14.2218187626507,17.9019984816678,17.0296211337636,30.1886691133343,26.4969068551281,40.1191273281882,23.3435161472107,12.3810314885903,6.82443212461702,9.85034369900801,13.5711723820036,10.7346535091615,17.4716460711837,7.92770027039518,16.9439118042457
"miR156",16.6183154055852,35.8890422065789,12.4234889906576,12.540046123746,28.908908061003,28.8023325677382,18.1117332990758,38.3959885526858,23.1493612623047,25.9040270319709,24.0751014063808,31.5047990974627,7.54716727833358,27.9689572359685,13.3730424427294,23.3435161472107,43.3336102100661,32.4160525919308,54.4666063356913,39.5334151997498,32.8748763718069,30.7077415796563,32.3206241793034,24.851070646227
"miR159",0,0,0,5.01601844949842,0,0,0,0,2.31493612623047,0,1.23462058494261,1.70296211337636,7.54716727833358,0,0,0,0,0,1.73829594688377,0,0,0.529443820338901,1.21964619544541,0
"miR160",0,0,0,0,0,0,0,0,2.31493612623047,0,0,0,0,0,0,0,0,0,0,0,0,0.529443820338901,0,0
"miR171",0,0,0,0,0,0,1.72492698086436,1.39621776555221,0,0,1.23462058494261,0,0,0,0,0,0,0,0.579431982294589,0,0,0,0,6.77756472169828
"miR319",0,0,0,0,0,0,0,0.698108882776105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"miR396",0,0,0,0,0,0,0,1.39621776555221,0,0,0,0,0,0,0,0,0,1.13740535410284,0,0,0,0,0,0
"miR398",0,3.58890422065789,0,5.01601844949842,2.14140059711133,0,0,0,2.31493612623047,0,4.32117204729912,0,0,1.47205038084045,0,4.66870322944214,0,0,0.579431982294589,0,0,2.1177752813556,0,0
"miR399",0,0,0,0,0.713800199037111,0,0,0,0,0,0,0,0,0,0,0,0.309525787214758,0,0,0,0,0,0.609823097722706,0
"miR408",91.4007347307187,102.28377028875,90.0702951822674,95.3043505404699,195.938154635687,127.450321612241,202.678920251563,178.017765107907,158.573124646787,141.710265527841,152.475642240412,104.732169972646,90.566007340003,11.7764030467236,15.283477077405,4.66870322944214,252.882568154457,250.229177902624,408.209831526538,381.172928642363,412.613244258393,240.8969382542,366.503681731346,525.261265931616
"miR415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0588876406778,0,0
"miR529",0,0,3.10587224766439,5.01601844949842,0.713800199037111,0,0,0,2.31493612623047,0,0,0,0,2.9441007616809,0,0,0,0,0,1.18010194626119,0,0,2.43929239089083,0
"miR530",0,0,0,0,0.356900099518556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"miR535",0,3.58890422065789,0,0,0.713800199037111,2.88023325677382,2.58739047129654,0,2.31493612623047,1.01584419733219,1.23462058494261,3.40592422675272,0,2.9441007616809,0,0,0.309525787214758,0,0,1.18010194626119,0,0,0,0
"miR7492",0,0,0,0,0,0,0,1.39621776555221,4.62987225246095,0,2.46924116988521,5.10888634012908,15.0943345566672,0,3.82086926935126,0,0.619051574429516,2.27481070820567,0,1.18010194626119,0,0,1.21964619544541,4.51837648113218
"miR8175",262.569383408246,61.0113717511841,209.646376717346,198.132728755187,61.029917017673,155.532595865786,207.853701194156,46.0751862632229,361.130035691954,162.027149474485,225.935567044497,176.256578734453,1169.8109281417,132.48453427564,296.117368374723,158.735909801033,29.404949785402,114.309238087335,27.8127351501403,33.0428544953132,112.713861846195,76.2399101288018,114.646742371869,149.106423877362
"miR831",0,0,0,0,0,0,0,0,0,1.01584419733219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"miR833",0,3.58890422065789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"miR835",3.32366308111704,3.58890422065789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
